批號,溫度,時間,水分,結果評分
B1000,45.9°F,1 Feb 2026,項目3,項目2
BATCH1001,43.2°F,2026-02-02,C,項目2
B1002,44.1°F,2026/3/3,項目3,B
BATCH1003,7.3°C,2026-04-04,A,C
b-1004,3.2°C,5 Jun 2026,項目2,項目3
b-1005,5.3°C,2026/6/6,C,C
b-1006,41.2°F,20260707,A,項目2
b-1007,7.6°C,2026-08-08,B,項目3
B1008,3.6°C,2026/9/9,項目1,項目1
b-1009,42.6°F,2026-10-10,項目3,項目3
BATCH1010,7.5°C,20261111,項目2,A
b-1011,41.4°F,2026-12-12,A,項目1
B1012,5.0°C,2026/1/13,A,項目3
BATCH1013,6.4°C,2026/2/14,項目2,項目1
b-1014,40.3°F,15 Apr 2026,B,B
B1015,3.0°C,20260416,項目1,B
b-1016,7.5°C,2026/5/17,項目3,項目2
B1017,3.7°C,2026-06-18,項目3,C
b-1018,2.6°C,19 Feb 2026,C,C
b-1019,5.6°C,2026-08-20,項目1,項目3
BATCH1020,3.8°C,21 Apr 2026,B,A
b-1021,4.1°C,22 May 2026,A,A
BATCH1022,3.5°C,2026/11/23,項目1,C
B1023,2.2°C,20261224,B,B
B1024,38.7°F,2026/1/25,C,項目3
b-1025,5.5°C,20260226,A,項目2
b-1026,46.0°F,27 Apr 2026,項目3,C
B1027,3.0°C,2026/4/28,A,項目1
B1028,41.0°F,2026/04/29,B,B
b-1029,38.3°F,2026/6/2,項目1,項目3
BATCH1030,7.2°C,2026-07-03,項目2,項目1
B1031,41.7°F,2026-08-04,A,C
BATCH1032,7.5°C,20260905,項目1,項目1
BATCH1033,4.4°C,2026-10-06,項目3,A
b-1034,43.2°F,2026/11/7,項目2,C
BATCH1035,5.1°C,2026-12-08,項目1,C
b-1036,44.6°F,9 Feb 2026,A,項目1
BATCH1037,4.7°C,2026/2/10,C,項目2
BATCH1038,3.9°C,20260311,B,B
B1039,37.9°F,20260412,項目1,C
b-1040,7.9°C,20260513,項目1,項目2
B1041,3.6°C,20260614,C,B
BATCH1042,39.7°F,15 Feb 2026,項目2,B
b-1043,6.6°C,20260816,B,C
B1044,4.8°C,17 Apr 2026,項目2,B
b-1045,2.9°C,20261018,C,項目2
b-1047,4.2°C,2026-12-20,A,B
b-1048,4.0°C,21 Feb 2026,項目3,項目3
b-1049,35.8°F,22 Mar 2026,項目3,項目3
B1050,8.0°C,2026/3/23,A,A
BATCH1051,6.8°C,2026-04-24,C,A
B1052,4.6°C,20260525,C,項目3
b-1053,45.1°F,2026-06-26,項目3,A
b-1054,45.1°F,2026/7/27,C,A
B1055,37.4°F,28 Mar 2026,項目2,項目3
BATCH1056,5.4°C,2026-09-01,B,B
b-1057,6.3°C,2026/10/2,A,B
BATCH1058,43.5°F,20261103,項目3,B
b-1059,36.3°F,20261204,B,項目2
BATCH1060,43.5°F,20260105,項目3,A
BATCH1061,6.4°C,2026/2/6,A,A
BATCH1062,35.8°F,7 Apr 2026,A,項目3
BATCH1063,37.8°F,2026/4/8,A,C
B1064,7.5°C,2026/5/9,A,C
BATCH1065,6.6°C,2026/6/10,C,A
b-1066,4.9°C,20260711,項目1,C
BATCH1067,37.4°F,2026-08-12,項目3,C
B1068,2.1°C,2026/9/13,A,B
BATCH1069,3.2°C,2026-10-14,A,B
B1070,41.0°F,2026-11-15,項目2,項目2
BATCH1071,3.8°C,16 Jan 2026,項目3,項目1
B1072,6.1°C,2026-01-17,A,B
BATCH1073,6.4°C,18 Mar 2026,項目2,B
b-1074,41.2°F,2026/3/19,C,項目2
B1075,8.0°C,2026/4/20,項目2,C
b-1076,4.4°C,21 Jun 2026,項目2,項目2
b-1077,5.1°C,2026-06-22,項目3,C
B1078,39.0°F,23 Feb 2026,項目1,項目3
BATCH1079,3.8°C,20260824,項目2,項目3
BATCH1080,4.9°C,2026/9/25,項目2,項目2
B1081,6.2°C,2026-10-26,項目3,A
b-1082,7.2°C,2026/11/27,項目3,A
BATCH1083,2.1°C,28 Jan 2026,項目1,B
B1084,2.8°C,1 Feb 2026,項目3,項目3
b-1085,44.6°F,20260202,項目1,項目2
B1086,7.2°C,2026/3/3,A,項目1
b-1087,2.5°C,4 May 2026,項目1,項目2
b-1088,41.7°F,5 Jun 2026,項目3,項目3
BATCH1089,4.9°C,6 Jan 2026,A,A
B1090,3.2°C,2026-07-07,項目1,B
BATCH1091,44.4°F,2026-08-08,C,B
B1092,7.9°C,2026-09-09,A,C
BATCH1093,3.3°C,2026/10/10,A,項目3
B1094,36.7°F,20261111,C,A
B1095,35.8°F,2026-12-12,項目2,項目2
BATCH1096,7.5°C,2026-01-13,C,C
BATCH1097,4.9°C,2026/2/14,項目3,A
b-1098,43.7°F,15 Apr 2026,A,B
BATCH1099,6.9°C,16 May 2026,項目2,C
B1046,40.6°F,2026/11/19,C,項目1
